generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251008-233304,nan,nan,0.7100175746924429,0.29349736379613356,0.49710017574692444,0.6629173989455184,1_78,1_19
2,uci_cancer_test/2/20251008-233306,nan,nan,0.8734622144112478,0.3655536028119508,0.6251845342706502,0.700175746924429,2_13,2_6
3,uci_cancer_test/3/20251008-233309,nan,nan,0.8734622144112478,0.37258347978910367,0.6858699472759227,0.752548330404218,3_15,2_6
4,uci_cancer_test/4/20251008-233311,nan,nan,0.8734622144112478,0.37258347978910367,0.72493848857645,0.8734622144112478,4_25,2_6
5,uci_cancer_test/5/20251008-233314,nan,nan,0.9121265377855887,0.37258347978910367,0.7894024604569421,0.8850615114235503,5_15,5_60
6,uci_cancer_test/6/20251008-233317,nan,nan,0.9121265377855887,0.3427065026362039,0.7693673110720561,0.8889279437609842,6_30,5_60
7,uci_cancer_test/7/20251008-233319,nan,nan,0.9121265377855887,0.37258347978910367,0.7921441124780318,0.9005272407732866,7_12,5_60
8,uci_cancer_test/8/20251008-233322,nan,nan,0.9121265377855887,0.37258347978910367,0.8012653778558875,0.9033391915641478,8_8,5_60
9,uci_cancer_test/9/20251008-233325,nan,nan,0.9121265377855887,0.37258347978910367,0.7588927943760982,0.9103690685413005,9_6,5_60
10,uci_cancer_test/10/20251008-233328,nan,nan,0.9121265377855887,0.37258347978910367,0.781775043936731,0.9121265377855888,10_16,5_60
11,uci_cancer_test/11/20251008-233331,nan,nan,0.9121265377855887,0.37258347978910367,0.7985237258347978,0.9121265377855888,11_8,5_60
12,uci_cancer_test/12/20251008-233333,nan,nan,0.9121265377855887,0.37258347978910367,0.7660808435852373,0.9121265377855888,12_6,5_60
13,uci_cancer_test/13/20251008-233337,nan,nan,0.9156414762741653,0.37258347978910367,0.8039718804920912,0.912829525483304,13_11,13_66
14,uci_cancer_test/14/20251008-233340,nan,nan,0.9156414762741653,0.37258347978910367,0.8058523725834797,0.9135325131810195,14_10,13_66
15,uci_cancer_test/15/20251008-233342,nan,nan,0.9156414762741653,0.37258347978910367,0.7957820738137084,0.9135325131810192,15_21,13_66
16,uci_cancer_test/16/20251008-233345,nan,nan,0.9156414762741653,0.37258347978910367,0.7936028119507906,0.91493848857645,16_10,13_66
17,uci_cancer_test/17/20251008-233348,nan,nan,0.9173989455184535,0.37258347978910367,0.7688752196836555,0.9159929701230229,17_16,17_23
18,uci_cancer_test/18/20251008-233351,nan,nan,0.9173989455184535,0.37258347978910367,0.7991739894551845,0.9163444639718806,18_9,17_23
19,uci_cancer_test/19/20251008-233354,nan,nan,0.9173989455184535,0.37258347978910367,0.8026010544815466,0.9163444639718806,19_6,17_23
20,uci_cancer_test/20/20251008-233357,nan,nan,0.9173989455184535,0.37258347978910367,0.7867662565905096,0.9163444639718806,20_11,17_23
21,uci_cancer_test/21/20251008-233400,nan,nan,0.9173989455184535,0.37082601054481545,0.790738137082601,0.9163444639718806,21_63,17_23
22,uci_cancer_test/22/20251008-233404,nan,nan,0.9191564147627417,0.37258347978910367,0.8526186291739895,0.9173989455184535,22_14,22_93
23,uci_cancer_test/23/20251008-233407,nan,nan,0.9191564147627417,0.37258347978910367,0.7737961335676625,0.9181019332161687,23_10,22_93
24,uci_cancer_test/24/20251008-233410,nan,nan,0.9191564147627417,0.37258347978910367,0.7654305799648508,0.9181019332161687,24_7,22_93
25,uci_cancer_test/25/20251008-233413,nan,nan,0.9191564147627417,0.37258347978910367,0.8286994727592268,0.9188049209138841,25_21,22_93
26,uci_cancer_test/26/20251008-233417,nan,nan,0.9191564147627417,0.37258347978910367,0.8023374340949034,0.9191564147627418,26_7,22_93
27,uci_cancer_test/27/20251008-233420,nan,nan,0.9191564147627417,0.37258347978910367,0.81609841827768,0.9191564147627418,27_10,22_93
28,uci_cancer_test/28/20251008-233423,nan,nan,0.9191564147627417,0.37258347978910367,0.7985940246045695,0.9191564147627418,28_10,22_93
29,uci_cancer_test/29/20251008-233427,nan,nan,0.9191564147627417,0.37258347978910367,0.7754833040421792,0.9191564147627418,29_6,22_93
30,uci_cancer_test/30/20251008-233430,nan,nan,0.9191564147627417,0.37258347978910367,0.7927416520210897,0.9191564147627418,30_6,22_93
31,uci_cancer_test/31/20251008-233434,nan,nan,0.9191564147627417,0.37258347978910367,0.8405448154657293,0.9191564147627418,31_8,22_93
32,uci_cancer_test/32/20251008-233438,nan,nan,0.9191564147627417,0.37258347978910367,0.7759050966608085,0.9191564147627418,32_7,22_93
33,uci_cancer_test/33/20251008-233441,nan,nan,0.9191564147627417,0.37258347978910367,0.7998594024604571,0.9191564147627418,33_6,22_93
34,uci_cancer_test/34/20251008-233445,nan,nan,0.9191564147627417,0.37258347978910367,0.8050439367311071,0.9191564147627418,34_6,22_93
35,uci_cancer_test/35/20251008-233449,nan,nan,0.9191564147627417,0.37258347978910367,0.812530755711775,0.9191564147627418,35_11,22_93
36,uci_cancer_test/36/20251008-233452,nan,nan,0.9191564147627417,0.37258347978910367,0.7554130052724076,0.9191564147627418,36_9,22_93
37,uci_cancer_test/37/20251008-233456,nan,nan,0.9191564147627417,0.37258347978910367,0.8052724077328648,0.9191564147627418,37_9,22_93
38,uci_cancer_test/38/20251008-233459,nan,nan,0.9191564147627417,0.37258347978910367,0.8088224956063267,0.9191564147627418,38_6,22_93
39,uci_cancer_test/39/20251008-233503,nan,nan,0.9191564147627417,0.37258347978910367,0.8089279437609841,0.9191564147627418,39_10,22_93
40,uci_cancer_test/40/20251008-233506,nan,nan,0.9244288224956063,0.37258347978910367,0.8434797891036907,0.9202108963093145,40_7,40_23
41,uci_cancer_test/41/20251008-233510,nan,nan,0.9244288224956063,0.37258347978910367,0.8206502636203866,0.9212653778558876,41_26,40_23
42,uci_cancer_test/42/20251008-233514,nan,nan,0.9244288224956063,0.37258347978910367,0.8222671353251318,0.9212653778558876,42_10,40_23
43,uci_cancer_test/43/20251008-233518,nan,nan,0.9244288224956063,0.37258347978910367,0.8374516695957821,0.9244288224956063,43_22,40_23
44,uci_cancer_test/44/20251008-233522,nan,nan,0.9244288224956063,0.37258347978910367,0.8072231985940246,0.9244288224956063,44_15,40_23
45,uci_cancer_test/45/20251008-233526,nan,nan,0.9244288224956063,0.37258347978910367,0.8467662565905095,0.9244288224956063,45_11,40_23
46,uci_cancer_test/46/20251008-233530,nan,nan,0.9244288224956063,0.37258347978910367,0.82701230228471,0.9244288224956063,46_12,40_23
47,uci_cancer_test/47/20251008-233535,nan,nan,0.9244288224956063,0.37258347978910367,0.7998066783831281,0.9244288224956063,47_24,40_23
