generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20250929-001517,nan,nan,0.8242530755711776,0.30579964850615116,0.4923374340949034,0.6579964850615114,1_79,1_2
2,uci_cancer_test/2/20250929-001520,nan,nan,0.8242530755711776,0.2126537785588752,0.61597539543058,0.7101933216168717,2_89,1_2
3,uci_cancer_test/3/20250929-001522,nan,nan,0.8471001757469244,0.37258347978910367,0.6708963093145871,0.7912126537785589,3_12,3_28
4,uci_cancer_test/4/20250929-001525,nan,nan,0.859402460456942,0.31282952548330406,0.7355711775043937,0.8427065026362038,4_41,4_74
5,uci_cancer_test/5/20250929-001527,nan,nan,0.8804920913884007,0.36731107205623903,0.7542179261862917,0.8588752196836555,5_88,5_44
6,uci_cancer_test/6/20250929-001530,nan,nan,0.8822495606326889,0.37258347978910367,0.7327240773286468,0.8606326889279436,6_29,6_33
7,uci_cancer_test/7/20250929-001532,nan,nan,0.8840070298769771,0.37258347978910367,0.7591915641476273,0.8768014059753954,7_47,7_21
8,uci_cancer_test/8/20250929-001535,nan,nan,0.8857644991212654,0.46748681898066785,0.8011247803163445,0.8834797891036906,8_80,8_15
9,uci_cancer_test/9/20250929-001539,nan,nan,0.8998242530755711,0.37258347978910367,0.8274868189806679,0.8868189806678384,9_23,9_54
10,uci_cancer_test/10/20250929-001542,nan,nan,0.8998242530755711,0.40597539543058,0.8359226713532513,0.8905096660808436,10_33,9_54
11,uci_cancer_test/11/20250929-001545,nan,nan,0.8998242530755711,0.4024604569420035,0.8284007029876979,0.8929701230228471,11_97,9_54
12,uci_cancer_test/12/20250929-001549,nan,nan,0.9050966608084359,0.37258347978910367,0.8098769771528996,0.9001757469244289,12_24,12_63
13,uci_cancer_test/13/20250929-001552,nan,nan,0.9050966608084359,0.37258347978910367,0.8158875219683653,0.9008787346221441,13_18,12_63
14,uci_cancer_test/14/20250929-001555,nan,nan,0.9050966608084359,0.37258347978910367,0.82103690685413,0.9008787346221443,14_97,12_63
15,uci_cancer_test/15/20250929-001559,nan,nan,0.9086115992970123,0.37258347978910367,0.8332513181019331,0.9050966608084359,15_50,15_18
16,uci_cancer_test/16/20250929-001602,nan,nan,0.9138840070298769,0.37258347978910367,0.7938312829525483,0.906854130052724,16_19,16_41
17,uci_cancer_test/17/20250929-001605,nan,nan,0.9138840070298769,0.45342706502636204,0.8188400702987698,0.9086115992970123,17_21,16_41
18,uci_cancer_test/18/20250929-001609,nan,nan,0.9349736379613357,0.37258347978910367,0.8206502636203866,0.9147627416520212,18_51,18_97
19,uci_cancer_test/19/20250929-001612,nan,nan,0.9349736379613357,0.37258347978910367,0.8723725834797891,0.9260105448154657,19_65,18_97
20,uci_cancer_test/20/20250929-001615,nan,nan,0.9349736379613357,0.37258347978910367,0.8811599297012304,0.9312829525483304,20_21,18_97
21,uci_cancer_test/21/20250929-001619,nan,nan,0.9420035149384886,0.6274165202108963,0.8770298769771528,0.9362038664323373,21_16,21_28
