generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
1,uci_cancer_test/1/20251006-200449,nan,nan,0.688927948474884,0.21616871654987335,0.5056063257157802,0.6333919107913971,1_14,1_13
2,uci_cancer_test/2/20251006-200452,nan,nan,0.688927948474884,0.32161685824394226,0.5890861138701439,0.6449912190437317,2_12,1_13
3,uci_cancer_test/3/20251006-200456,nan,nan,0.8576449751853943,0.31985941529273987,0.6057293480634689,0.7590509653091431,3_19,3_17
4,uci_cancer_test/4/20251006-200459,nan,nan,0.8664323091506958,0.3743409514427185,0.712530754506588,0.8240773260593415,4_17,4_87
5,uci_cancer_test/5/20251006-200503,nan,nan,0.868189811706543,0.32161685824394226,0.7318277618288994,0.8595781922340393,5_94,5_68
6,uci_cancer_test/6/20251006-200507,nan,nan,0.8699472546577454,0.3743409514427185,0.7045342618227005,0.8625658869743347,6_21,6_88
7,uci_cancer_test/7/20251006-200510,nan,nan,0.8945518732070923,0.3743409514427185,0.755307542681694,0.8701230049133301,7_31,7_70
8,uci_cancer_test/8/20251006-200514,nan,nan,0.9033392071723938,0.3725834786891937,0.7454657191038132,0.8738136947154999,8_25,8_74
9,uci_cancer_test/9/20251006-200518,nan,nan,0.9033392071723938,0.31985941529273987,0.737152895629406,0.8933216333389282,9_25,8_74
10,uci_cancer_test/10/20251006-200522,nan,nan,0.9033392071723938,0.3637961447238922,0.7933567717671395,0.8982425332069397,10_31,8_74
11,uci_cancer_test/11/20251006-200526,nan,nan,0.9033392071723938,0.31985941529273987,0.7660632702708244,0.9010544836521148,11_85,8_74
12,uci_cancer_test/12/20251006-200530,nan,nan,0.9050966501235962,0.3743409514427185,0.7612478011846542,0.9033392012119293,12_14,12_39
13,uci_cancer_test/13/20251006-200534,nan,nan,0.9050966501235962,0.31985941529273987,0.7842882335186004,0.9036906957626343,13_78,12_39
14,uci_cancer_test/14/20251006-200539,nan,nan,0.9068541526794434,0.3725834786891937,0.7934094953536988,0.9049209117889404,14_15,14_99
15,uci_cancer_test/15/20251006-200543,nan,nan,0.9068541526794434,0.3743409514427185,0.7720035111904144,0.9054481506347656,15_12,14_99
16,uci_cancer_test/16/20251006-200547,nan,nan,0.9068541526794434,0.3743409514427185,0.8147627380490303,0.9054481506347656,16_11,14_99
17,uci_cancer_test/17/20251006-200552,nan,nan,0.9068541526794434,0.3743409514427185,0.7719332128763199,0.9054481506347656,17_12,14_99
18,uci_cancer_test/18/20251006-200557,nan,nan,0.9068541526794434,0.31985941529273987,0.7744288206100464,0.9054481506347656,18_17,14_99
19,uci_cancer_test/19/20251006-200601,nan,nan,0.9068541526794434,0.3743409514427185,0.8038312810659408,0.9054481506347656,19_17,14_99
20,uci_cancer_test/20/20251006-200606,nan,nan,0.9068541526794434,0.3743409514427185,0.7934270620346069,0.9054481506347656,20_12,14_99
21,uci_cancer_test/21/20251006-200611,nan,nan,0.9068541526794434,0.3743409514427185,0.8282073783874512,0.9054481506347656,21_20,14_99
22,uci_cancer_test/22/20251006-200616,nan,nan,0.9068541526794434,0.3743409514427185,0.7479789090156556,0.9054481506347656,22_15,14_99
23,uci_cancer_test/23/20251006-200621,nan,nan,0.9068541526794434,0.3743409514427185,0.7920386683940888,0.9066784024238587,23_16,14_99
24,uci_cancer_test/24/20251006-200626,nan,nan,0.9068541526794434,0.31985941529273987,0.7846045830845833,0.9068541526794434,24_56,14_99
25,uci_cancer_test/25/20251006-200631,nan,nan,0.9068541526794434,0.3743409514427185,0.8066432490944863,0.9068541526794434,25_16,14_99
26,uci_cancer_test/26/20251006-200636,nan,nan,0.9068541526794434,0.3743409514427185,0.7927065172791481,0.9068541526794434,26_13,14_99
