generation,checkpoint_id,cid_min___b_score_vector,cid_max___b_score_vector,max_baseline_accuracy,min_baseline_accuracy,mean_baseline_accuracy,elites_mean_baseline_accuracy,cid_min_baseline_accuracy,cid_max_baseline_accuracy,max_in_distribution_accuracy,min_in_distribution_accuracy,mean_in_distribution_accuracy,elites_mean_in_distribution_accuracy,cid_min_in_distribution_accuracy,cid_max_in_distribution_accuracy,max_out_of_distribution_accuracy,min_out_of_distribution_accuracy,mean_out_of_distribution_accuracy,elites_mean_out_of_distribution_accuracy,cid_min_out_of_distribution_accuracy,cid_max_out_of_distribution_accuracy,max_score,min_score,mean_score,elites_mean_score,cid_min_score,cid_max_score
35,uci_heart_test/35/20251119-195712,nan,nan,0.7668845315904139,0.3779956427015251,0.6918191721132898,0.7637254901960784,35_52,35_67,0.7950310559006211,0.3338509316770186,0.7197515527950311,0.7908385093167702,35_52,35_67,0.7700729927007299,0.26277372262773724,0.6261678832116789,0.7,35_12,35_16,0.8690176606178284,0.38413098454475403,0.7791058120131492,0.8656171560287476,35_52,35_67
36,uci_heart_test/36/20251119-195722,nan,nan,0.8082788671023965,0.4466230936819172,0.7227342047930283,0.7685185185185185,36_57,36_61,0.7950310559006211,0.4751552795031056,0.75222049689441,0.791304347826087,36_67,35_67,0.8503649635036497,0.26277372262773724,0.6534306569343067,0.7149635036496351,36_57,36_61,0.8690176606178284,0.48740553855895996,0.8168136250972747,0.8659949898719788,36_67,35_67
37,uci_heart_test/37/20251119-195732,nan,nan,0.8082788671023965,0.4466230936819172,0.7082679738562092,0.7642701525054466,37_33,36_61,0.7950310559006211,0.4751552795031056,0.7386335403726711,0.7916149068322981,37_76,35_67,0.8503649635036497,0.26277372262773724,0.6368978102189781,0.7,37_33,36_61,0.8690176606178284,0.48740553855895996,0.7990302485227585,0.8662468791007996,37_76,35_67
38,uci_heart_test/38/20251119-195742,nan,nan,0.7799564270152506,0.3779956427015251,0.6851525054466231,0.7679738562091503,38_49,38_22,0.7950310559006211,0.3338509316770186,0.7134937888198758,0.7920807453416149,38_49,35_67,0.7992700729927007,0.26277372262773724,0.6185401459854015,0.7113138686131387,38_11,38_55,0.8740554451942444,0.38413098454475403,0.770377853512764,0.8683879375457764,38_49,38_22
39,uci_heart_test/39/20251119-195753,nan,nan,0.7995642701525054,0.3779956427015251,0.6975163398692811,0.7721132897603487,39_86,39_91,0.7950310559006211,0.3338509316770186,0.72972049689441,0.7911490683229815,39_86,38_51,0.8102189781021898,0.26277372262773724,0.6218248175182484,0.7273722627737226,39_12,39_91,0.8740554451942444,0.38413098454475403,0.7897355383634568,0.8706549406051636,39_86,38_22
40,uci_heart_test/40/20251119-195803,nan,nan,0.7799564270152506,0.3540305010893246,0.7063289760348584,0.7776688453159041,40_74,38_22,0.7950310559006211,0.32608695652173914,0.7285248447204971,0.7872670807453417,40_74,39_31,0.8029197080291971,0.26277372262773724,0.6541605839416058,0.755109489051095,40_11,40_40,0.8740554451942444,0.38413098454475403,0.7924559414386749,0.8715365529060364,40_49,38_22
41,uci_heart_test/41/20251119-195813,nan,nan,0.7908496732026143,0.43790849673202614,0.7033442265795208,0.7808278867102396,41_89,41_84,0.8043478260869565,0.38354037267080743,0.7181366459627327,0.7903726708074534,41_89,41_84,0.7992700729927007,0.26277372262773724,0.6685766423357664,0.7583941605839415,41_15,41_34,0.8841309547424316,0.42947104573249817,0.7826448547840118,0.8750629961490631,41_89,41_84
42,uci_heart_test/42/20251119-195824,nan,nan,0.7908496732026143,0.43790849673202614,0.7038017429193901,0.7819172113289761,42_91,41_84,0.8043478260869565,0.38354037267080743,0.7250155279503105,0.7919254658385093,42_91,41_84,0.7700729927007299,0.26277372262773724,0.653941605839416,0.7583941605839415,42_14,42_13,0.8841309547424316,0.42947104573249817,0.7889420846104622,0.8760705471038819,42_91,41_84
43,uci_heart_test/43/20251119-195835,nan,nan,0.8061002178649237,0.43790849673202614,0.6878540305010893,0.7887799564270151,43_24,43_27,0.8043478260869565,0.38354037267080743,0.7099844720496895,0.8024844720496895,43_24,41_84,0.8467153284671532,0.26277372262773724,0.6358394160583941,0.7565693430656933,43_14,43_27,0.8841309547424316,0.42947104573249817,0.7674559304118156,0.8828715145587921,43_24,41_84
44,uci_heart_test/44/20251119-195846,nan,nan,0.8191721132897604,0.4466230936819172,0.70380174291939,0.7908496732026143,44_13,44_12,0.8043478260869565,0.5248447204968945,0.7291304347826087,0.8043478260869567,44_13,41_84,0.8540145985401459,0.26277372262773724,0.6442700729927006,0.7591240875912408,44_13,44_12,0.8841309547424316,0.51259446144104,0.7897481024265289,0.8841309547424316,44_13,41_84
45,uci_heart_test/45/20251119-195857,nan,nan,0.7995642701525054,0.4466230936819172,0.7095860566448801,0.7908496732026143,45_15,45_54,0.8043478260869565,0.5248447204968945,0.7347515527950311,0.8043478260869567,45_15,41_84,0.8102189781021898,0.26277372262773724,0.6504379562043797,0.7591240875912408,45_15,45_54,0.8841309547424316,0.51259446144104,0.7965491062402725,0.8841309547424316,45_15,41_84
